,FinInstrmGnlAttrbts.Id,FinInstrmGnlAttrbts.FullNm,FinInstrmGnlAttrbts.ClssfctnTp,FinInstrmGnlAttrbts.CmmdtyDerivInd,FinInstrmGnlAttrbts.NtnlCcy,Issr
0,DE000C7A2EW5,LOL5 SI 20221230 PS AM C 345.00 0,OCASPS,false,EUR,529900UT4DG0LG5R9O07
1,DE000C7A2EX3,LOL5 SI 20221230 PS AM P 345.00 0,OPASPS,false,EUR,529900UT4DG0LG5R9O07
2,DE000C7A2EY1,LOL5 SI 20221230 PS AM C 350.00 0,OCASPS,false,EUR,529900UT4DG0LG5R9O07
3,DE000C7A2EZ8,LOL5 SI 20221230 PS AM P 350.00 0,OPASPS,false,EUR,529900UT4DG0LG5R9O07
4,DE000C7A2L07,ADS5 SI 20221230 PS AM P 110.00 0,OPASPS,false,EUR,529900UT4DG0LG5R9O07
5,DE000C7A2L15,ADS5 SI 20221230 PS AM C 112.00 0,OCASPS,false,EUR,529900UT4DG0LG5R9O07
6,DE000C7A2L23,ADS5 SI 20221230 PS AM P 112.00 0,OPASPS,false,EUR,529900UT4DG0LG5R9O07
7,DE000C7A2L31,ADS5 SI 20221230 PS AM C 114.00 0,OCASPS,false,EUR,529900UT4DG0LG5R9O07
8,DE000C7A2L49,ADS5 SI 20221230 PS AM P 114.00 0,OPASPS,false,EUR,529900UT4DG0LG5R9O07
9,DE000C7A2L56,ADS5 SI 20221230 PS AM C 116.00 0,OCASPS,false,EUR,529900UT4DG0LG5R9O07
10,DE000C7A2L64,ADS5 SI 20221230 PS AM P 116.00 0,OPASPS,false,EUR,529900UT4DG0LG5R9O07
11,DE000C7A2L72,ADS5 SI 20221230 PS AM C 118.00 0,OCASPS,false,EUR,529900UT4DG0LG5R9O07
12,DE000C7A2L80,ADS5 SI 20221230 PS AM P 118.00 0,OPASPS,false,EUR,529900UT4DG0LG5R9O07
13,DE000C7A2L98,ADS5 SI 20221230 PS AM C 120.00 0,OCASPS,false,EUR,529900UT4DG0LG5R9O07
14,DE000C7A2LK5,ADS5 SI 20221230 PS AM C 98.00 0,OCASPS,false,EUR,529900UT4DG0LG5R9O07
15,DE000C7A2LL3,ADS5 SI 20221230 PS AM P 98.00 0,OPASPS,false,EUR,529900UT4DG0LG5R9O07
16,DE000C7A2LM1,ADS5 SI 20221230 PS AM C 99.00 0,OCASPS,false,EUR,529900UT4DG0LG5R9O07
17,DE000C7A2LN9,ADS5 SI 20221230 PS AM P 99.00 0,OPASPS,false,EUR,529900UT4DG0LG5R9O07
18,DE000C7A2LP4,ADS5 SI 20221230 PS AM C 100.00 0,OCASPS,false,EUR,529900UT4DG0LG5R9O07
19,DE000C7A2LQ2,ADS5 SI 20221230 PS AM P 100.00 0,OPASPS,false,EUR,529900UT4DG0LG5R9O07
20,DE000C7A2LR0,ADS5 SI 20221230 PS AM C 102.00 0,OCASPS,false,EUR,529900UT4DG0LG5R9O07
21,DE000C7A2LS8,ADS5 SI 20221230 PS AM P 102.00 0,OPASPS,false,EUR,529900UT4DG0LG5R9O07
22,DE000C7A2LT6,ADS5 SI 20221230 PS AM C 104.00 0,OCASPS,false,EUR,529900UT4DG0LG5R9O07
23,DE000C7A2LU4,ADS5 SI 20221230 PS AM P 104.00 0,OPASPS,false,EUR,529900UT4DG0LG5R9O07
24,DE000C7A2LV2,ADS5 SI 20221230 PS AM C 106.00 0,OCASPS,false,EUR,529900UT4DG0LG5R9O07
25,DE000C7A2LW0,ADS5 SI 20221230 PS AM P 106.00 0,OPASPS,false,EUR,529900UT4DG0LG5R9O07
26,DE000C7A2LX8,ADS5 SI 20221230 PS AM C 108.00 0,OCASPS,false,EUR,529900UT4DG0LG5R9O07
27,DE000C7A2LY6,ADS5 SI 20221230 PS AM P 108.00 0,OPASPS,false,EUR,529900UT4DG0LG5R9O07
28,DE000C7A2LZ3,ADS5 SI 20221230 PS AM C 110.00 0,OCASPS,false,EUR,529900UT4DG0LG5R9O07
29,DE000C7A2MA4,ADS5 SI 20221230 PS AM P 120.00 0,OPASPS,false,EUR,529900UT4DG0LG5R9O07
30,DE000C7A2MB2,ADS5 SI 20221230 PS AM C 122.00 0,OCASPS,false,EUR,529900UT4DG0LG5R9O07
31,DE000C7A2MC0,ADS5 SI 20221230 PS AM P 122.00 0,OPASPS,false,EUR,529900UT4DG0LG5R9O07
32,DE000C7A2MD8,ADS5 SI 20221230 PS AM C 124.00 0,OCASPS,false,EUR,529900UT4DG0LG5R9O07
33,DE000C7A2ME6,ADS5 SI 20221230 PS AM P 124.00 0,OPASPS,false,EUR,529900UT4DG0LG5R9O07
34,DE000C7A2MF3,ADS5 SI 20221230 PS AM C 126.00 0,OCASPS,false,EUR,529900UT4DG0LG5R9O07
35,DE000C7A2MG1,ADS5 SI 20221230 PS AM P 126.00 0,OPASPS,false,EUR,529900UT4DG0LG5R9O07
36,DE000C7A2MH9,ADS5 SI 20221230 PS AM C 128.00 0,OCASPS,false,EUR,529900UT4DG0LG5R9O07
37,DE000C7A2MJ5,ADS5 SI 20221230 PS AM P 128.00 0,OPASPS,false,EUR,529900UT4DG0LG5R9O07
38,DE000C7A2MK3,ADS5 SI 20221230 PS AM C 130.00 0,OCASPS,false,EUR,529900UT4DG0LG5R9O07
39,DE000C7A2ML1,ADS5 SI 20221230 PS AM P 130.00 0,OPASPS,false,EUR,529900UT4DG0LG5R9O07
40,DE000C7A2MM9,ADS5 SI 20221230 PS AM C 132.00 0,OCASPS,false,EUR,529900UT4DG0LG5R9O07
41,DE000C7A2MN7,ADS5 SI 20221230 PS AM P 132.00 0,OPASPS,false,EUR,529900UT4DG0LG5R9O07
42,DE000C7A2MP2,ADS5 SI 20221230 PS AM C 134.00 0,OCASPS,false,EUR,529900UT4DG0LG5R9O07
43,DE000C7A2MQ0,ADS5 SI 20221230 PS AM P 134.00 0,OPASPS,false,EUR,529900UT4DG0LG5R9O07
44,DE000C7A2MR8,ADS5 SI 20221230 PS AM C 136.00 0,OCASPS,false,EUR,529900UT4DG0LG5R9O07
45,DE000C7A2MS6,ADS5 SI 20221230 PS AM P 136.00 0,OPASPS,false,EUR,529900UT4DG0LG5R9O07
46,DE000C7A2MT4,ADS5 SI 20221230 PS AM C 138.00 0,OCASPS,false,EUR,529900UT4DG0LG5R9O07
47,DE000C7A2MU2,ADS5 SI 20221230 PS AM P 138.00 0,OPASPS,false,EUR,529900UT4DG0LG5R9O07
48,DE000C7A2MV0,ADS5 SI 20221230 PS AM C 140.00 0,OCASPS,false,EUR,529900UT4DG0LG5R9O07
49,DE000C7A2MW8,ADS5 SI 20221230 PS AM P 140.00 0,OPASPS,false,EUR,529900UT4DG0LG5R9O07
50,DE000C7A2MX6,ADS5 SI 20221230 PS AM C 0.01 0,OCASPS,false,EUR,529900UT4DG0LG5R9O07
51,DE000C7A2S00,ZUW5 SI 20221230 PS AM C 335.00 0,OCASPS,false,CHF,529900UT4DG0LG5R9O07
52,DE000C7A2S18,ZUW5 SI 20221230 PS AM P 335.00 0,OPASPS,false,CHF,529900UT4DG0LG5R9O07
53,DE000C7A2S26,ZUW5 SI 20221230 PS AM C 340.00 0,OCASPS,false,CHF,529900UT4DG0LG5R9O07
54,DE000C7A2S34,ZUW5 SI 20221230 PS AM P 340.00 0,OPASPS,false,CHF,529900UT4DG0LG5R9O07
